Parent SKU,Component SKUs
SupersacTaupePaddedVelvet,"BU5807, BU5807, BU5807, BU5807"
MoviesacTaupePaddedVelvet,"BM1872, BM1872, BM1872, BM1872"
SquatInsertCoverTaupePV,"BQ3306, BQ3306, BQ3306, BQ3306"
3Seats5Sides_760,"GT4400, GT4400, GT4400, GT4400, HT8472, HT8472, HT8472, HT8472, GE6099, GE6099, GE6099, GE6099, HE4822, HE4822, HE4822, HE4822"
4Seats4Sides_760,"GT4400, GT4400, GT4400, GT4400, HT8472, HT8472, HT8472, HT8472, GE6099, GE6099, GE6099, GE6099, HE4822, HE4822, HE4822, HE4822"
4Seats5Sides_760,"GT4400, GT4400, GT4400, GT4400, HT8472, HT8472, HT8472, HT8472, GE6099, GE6099, GE6099, GE6099, HE4822, HE4822, HE4822, HE4822"
4sst1rst8ssd_760,"GT4400, GT4400, GT4400, GT4400, HT8472, HT8472, HT8472, HT8472, GE6099, GE6099, GE6099, GE6099, HE4822, HE4822, HE4822, HE4822"
6Seats6Sides_760,"GT4400, GT4400, GT4400, GT4400, HT8472, HT8472, HT8472, HT8472, GE6099, GE6099, GE6099, GE6099, HE4822, HE4822, HE4822, HE4822"
6Seats8Sides_760,"GT4400, GT4400, GT4400, GT4400, HT8472, HT8472, HT8472, HT8472, GE6099, GE6099, GE6099, GE6099, HE4822, HE4822, HE4822, HE4822, HF1338, HF1338, HF1338, HF1338, GB6127, GB6127, GB6127, GB6127, HB7965, HB7965, HB7965, HB7965, GM0478, GM0478, GM0478, GM0478, GM4215, GM4215, GM4215, GM4215"
7Seats8Sides_760,"GT4400, GT4400, GT4400, GT4400, HT8472, HT8472, HT8472, HT8472, GE6099, GE6099, GE6099, GE6099, HE4822, HE4822, HE4822, HE4822"
8Seats10Sides_760,"GT4400, GT4400, GT4400, GT4400, HT8472, HT8472, HT8472, HT8472, GE6099, GE6099, GE6099, GE6099, HE4822, HE4822, HE4822, HE4822"
10Seats12Sides_760,"GT4400, GT4400, GT4400, GT4400, HT8472, HT8472, HT8472, HT8472, GE6099, GE6099, GE6099, GE6099, HE4822, HE4822, HE4822, HE4822"
3Seats5Sides_401,"GT4400, GT4400, GT4400, GT4400, GE6099, GE6099, GE6099, GE6099, HT1899, HT1899, HT1899, HT1899, HE7485, HE7485, HE7485, HE7485"
4Seats4Sides_401,"GT4400, GT4400, GT4400, GT4400, GE6099, GE6099, GE6099, GE6099, HT1899, HT1899, HT1899, HT1899, HE7485, HE7485, HE7485, HE7485"
4Seats5Sides_401,"GT4400, GT4400, GT4400, GT4400, GE6099, GE6099, GE6099, GE6099, HT1899, HT1899, HT1899, HT1899, HE7485, HE7485, HE7485, HE7485"
5Seats5Sides_401,"GT4400, GT4400, GT4400, GT4400, GE6099, GE6099, GE6099, GE6099, HT1899, HT1899, HT1899, HT1899, HE7485, HE7485, HE7485, HE7485"
6Seats6Sides_401,"GT4400, GT4400, GT4400, GT4400, GE6099, GE6099, GE6099, GE6099, HT1899, HT1899, HT1899, HT1899, HE7485, HE7485, HE7485, HE7485"
6Seats8Sides_401,"GT4400, GT4400, GT4400, GT4400, HT1899, HT1899, HT1899, HT1899, GE6099, GE6099, GE6099, GE6099, HE7485, HE7485, HE7485, HE7485"
7Seats8Sides_401,"GT4400, GT4400, GT4400, GT4400, GE6099, GE6099, GE6099, GE6099, HT1899, HT1899, HT1899, HT1899, HE7485, HE7485, HE7485, HE7485"
8Seats10Sides_401,"GT4400, GT4400, GT4400, GT4400, GE6099, GE6099, GE6099, GE6099, HT1899, HT1899, HT1899, HT1899, HE7485, HE7485, HE7485, HE7485"
10Seats12Sides_401,"GT4400, GT4400, GT4400, GT4400, GE6099, GE6099, GE6099, GE6099, HT1899, HT1899, HT1899, HT1899, HE7485, HE7485, HE7485, HE7485"
3Seats5Sides_604,"GT4400, GT4400, GT4400, GT4400, GE6099, GE6099, GE6099, GE6099, HT5370, HT5370, HT5370, HT5370, HE3675, HE3675, HE3675, HE3675"
4Seats4Sides_604,"GT4400, GT4400, GT4400, GT4400, GE6099, GE6099, GE6099, GE6099, HT5370, HT5370, HT5370, HT5370, HE3675, HE3675, HE3675, HE3675"
4Seats5Sides_604,"GT4400, GT4400, GT4400, GT4400, GE6099, GE6099, GE6099, GE6099, HT5370, HT5370, HT5370, HT5370, HE3675, HE3675, HE3675, HE3675"
5Seats5Sides_604,"GT4400, GT4400, GT4400, GT4400, GE6099, GE6099, GE6099, GE6099, HT5370, HT5370, HT5370, HT5370, HE3675, HE3675, HE3675, HE3675"
6Seats6Sides_604,"GT4400, GT4400, GT4400, GT4400, GE6099, GE6099, GE6099, GE6099, HT5370, HT5370, HT5370, HT5370, HE3675, HE3675, HE3675, HE3675"
6Seats8Sides_604,"GT4400, GT4400, GT4400, GT4400, HT5370, HT5370, HT5370, HT5370, GE6099, GE6099, GE6099, GE6099, HE3675, HE3675, HE3675, HE3675"
7Seats8Sides_604,"GT4400, GT4400, GT4400, GT4400, GE6099, GE6099, GE6099, GE6099, HT5370, HT5370, HT5370, HT5370, HE3675, HE3675, HE3675, HE3675"
8Seats10Sides_604,"GT4400, GT4400, GT4400, GT4400, GE6099, GE6099, GE6099, GE6099, HT5370, HT5370, HT5370, HT5370, HE3675, HE3675, HE3675, HE3675"
10Seats12Sides_604,"GT4400, GT4400, GT4400, GT4400, GE6099, GE6099, GE6099, GE6099, HT5370, HT5370, HT5370, HT5370, HE3675, HE3675, HE3675, HE3675"
4Seats5Sides_341,"GT4400, GT4400, GT4400, GT4400, C28CAUAHQ, C28CAUAHQ, C28CAUAHQ, C28CAUAHQ, C00AAMAHQ, C00AAMAHQ, C00AAMAHQ, C00AAMAHQ, C00AALAHQ, C00AALAHQ, C00AALAHQ, C00AALAHQ, GE6099, GE6099, GE6099, GE6099, C28CAQAHQ, C28CAQAHQ, C28CAQAHQ, C28CAQAHQ, C00AAKAHQ, C00AAKAHQ, C00AAKAHQ, C00AAKAHQ"
5Seats5Sides_341,"GT4400, GT4400, GT4400, GT4400, C28CAUAHQ, C28CAUAHQ, C28CAUAHQ, C28CAUAHQ, C00AAMAHQ, C00AAMAHQ, C00AAMAHQ, C00AAMAHQ, C00AALAHQ, C00AALAHQ, C00AALAHQ, C00AALAHQ, GE6099, GE6099, GE6099, GE6099, C28CAQAHQ, C28CAQAHQ, C28CAQAHQ, C28CAQAHQ, C00AAKAHQ, C00AAKAHQ, C00AAKAHQ, C00AAKAHQ"
5Seats5Sides_477,"GT4400, GT4400, GT4400, GT4400, C28CAUANZ, C28CAUANZ, C28CAUANZ, C28CAUANZ, C00AAMANZ, C00AAMANZ, C00AAMANZ, C00AAMANZ, C00AALANZ, C00AALANZ, C00AALANZ, C00AALANZ, GE6099, GE6099, GE6099, GE6099, C28CAQANZ, C28CAQANZ, C28CAQANZ, C28CAQANZ, C00AAKANZ, C00AAKANZ, C00AAKANZ, C00AAKANZ, PANEL2SD, PANEL2SD, PANEL2SD, PANEL2SD"
8Seats10Sides_477,"GT4400, GT4400, GT4400, GT4400, C28CAUANZ, C28CAUANZ, C28CAUANZ, C28CAUANZ, C00AAMANZ, C00AAMANZ, C00AAMANZ, C00AAMANZ, C00AALANZ, C00AALANZ, C00AALANZ, C00AALANZ, GE6099, GE6099, GE6099, GE6099, C28CAQANZ, C28CAQANZ, C28CAQANZ, C28CAQANZ, C00AAKANZ, C00AAKANZ, C00AAKANZ, C00AAKANZ"
3Seats4Sides_480,"GT4400, GT4400, GT4400, GT4400, C28CAUANZ, C28CAUANZ, C28CAUANZ, C28CAUANZ, C00AAMANZ, C00AAMANZ, C00AAMANZ, C00AAMANZ, C00AALANZ, C00AALANZ, C00AALANZ, C00AALANZ, GE6099, GE6099, GE6099, GE6099, C28CAQANZ, C28CAQANZ, C28CAQANZ, C28CAQANZ, C00AAKANZ, C00AAKANZ, C00AAKANZ, C00AAKANZ, PANEL2SD, PANEL2SD, PANEL2SD, PANEL2SD"
